link_id,init_node,term_node,travel_time,electricity_consumption
155,53,113,4.888797814,0.539896469
156,53,25,1.722222222,0.404041811
157,53,52,7.288148148,0.666305971
158,54,55,2.791650485,0.670520775
159,54,115,5.729291417,0.690646644
160,54,26,2.70923913,0.28410535
161,54,53,2.039473684,0.252768689
162,55,56,6.546666667,0.421566741
163,55,117,2.161437908,0.23907836
164,55,27,3.765811966,0.520074728
165,55,54,2.791650485,0.670520775
166,56,57,1.67436919,0.356972242
167,56,119,3.346995708,0.367563015
168,56,28,3.088075881,0.345219128
169,56,55,6.546666667,0.421566741
170,57,58,1.984684685,0.292303018
171,57,120,2.846578366,0.325712668
172,57,29,2.493971631,0.331225783
173,57,56,1.67436919,0.356972242
174,58,59,3.514347826,0.456553027
175,58,125,4.671510417,0.498834689
176,58,30,1.990196078,0.263052424
177,58,57,1.984684685,0.292303018
178,59,60,3.152333333,0.244714104
179,59,31,2.76528777,0.321099942
180,59,58,3.514347826,0.456553027
181,60,61,2.843971631,0.326739306
182,60,76,5.350071429,0.574983713
183,60,32,6.285716166,0.82617209
184,60,59,3.152333333,0.244714104
185,61,62,3.722053277,0.44182494
186,61,33,8.442962357,0.493005193
187,61,60,2.843971631,0.326739306
188,62,63,1.917748918,0.204328971
189,62,80,3.515351788,0.389999073
190,62,1,4.16940874,0.48554348
191,62,61,3.722053277,0.44182494
192,63,64,2.200636132,0.204030352
193,63,62,1.917748918,0.204328971
194,64,65,2.3,0.258804614
195,64,63,2.200636132,0.204030352
196,65,66,2.366666667,0.278106173
197,65,2,1.696969697,0.175489086
198,65,64,2.3,0.258804614
199,66,67,2.121123717,0.350798932
200,66,83,1.567567568,0.19215281
201,66,84,3.062042683,0.346694418
202,66,3,3.746276596,0.499416881
203,66,65,2.366666667,0.278106173
204,67,68,2.656078431,0.312721499
205,67,85,2.215083799,0.218083884
206,67,4,3.709538462,0.411171466
207,67,66,2.121123717,0.350798932
208,68,69,2.070512821,0.262196012
209,68,70,2.68627451,0.208927405
210,68,88,2.259259259,0.218552189
211,68,67,2.656078431,0.312721499
212,69,6,2.339223058,0.239393278
213,69,68,2.070512821,0.262196012
214,70,71,2.21875,0.253621913
215,70,89,1.857142857,0.185787907
216,70,7,4.150666667,0.264566788
217,70,68,2.68627451,0.208927405
218,71,72,3.058045977,0.219828844
219,71,74,2.626506484,0.455987794
220,71,70,2.21875,0.253621913
221,72,71,3.058045977,0.219828844
222,73,8,1.666666667,0.3125
223,74,75,2.022924649,0.337460256
224,74,8,1.904761905,0.197708693
225,74,71,2.626506484,0.455987794
226,75,93,4.655395683,0.337825091
227,75,95,3.612140575,0.319017258
228,75,35,6.074166667,0.573358445
229,75,74,2.022924649,0.337460256
230,76,77,2.257453416,0.300665387
231,76,125,1.957496361,0.208192532
232,76,60,5.350071429,0.574983713
233,77,78,2.784339623,0.274503889
234,77,126,3.278413284,0.346974538
235,77,123,1.555555556,0.120807761
236,77,76,2.257453416,0.300665387
237,78,79,3.376586506,0.335502759
238,78,77,2.784339623,0.274503889
239,79,80,2.263235294,0.18531519
240,79,81,2.015151515,0.157688477
241,79,126,2.067901235,0.198512756
242,79,78,3.376586506,0.335502759
243,80,81,3.572347536,0.320035665
244,80,62,3.515351788,0.389999073
245,80,79,2.263235294,0.18531519
246,81,82,2.109289617,0.235469755
247,81,128,3.311346863,0.324103794
248,81,79,2.015151515,0.157688477
249,81,80,3.572347536,0.320035665
250,82,83,1.94047619,0.144331888
251,82,81,2.109289617,0.235469755
252,83,84,1.166666667,0.07
253,83,129,2.805084746,0.271331027
